weakness_id,weakness,priority,effort,recommendation,steps,risk_total,max_rating,affected_access_points,zones,controls_failed
W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,P1,Medium,"Migrate reader-to-controller communications to OSDP with Secure Channel enabled, and enforce reader tamper reporting.","['Replace Wiegand with OSDP (SIA OSDP / IEC 60839-11-5) and enable Secure Channel — OSDP without Secure Channel does not solve this.', 'Verify that reader tamper switches are wired, enabled and alarmed at the monitoring point.', 'Where the reader must stay on Wiegand, relocate the controller-side termination to the secure side and use tamper-evident mounting.']",62.6,High,17,"general, restricted, secure","A.7.12, A.7.2, PE-3, PE-4, SC-8"
W-NO-CRYPTO,No cryptographic authentication in the credential exchange,P1,High,"Replace the technology at security-relevant boundaries; where replacement is deferred, add an independent factor that is not carried on the same channel.","['Restrict the unauthenticated technology to non-security boundaries (e.g. amenity doors) and record the acceptance decision.', 'Deploy an authenticated credential technology at every boundary above General sensitivity.', 'Where a gate or barrier cannot be replaced quickly, pair it with a logged, authenticated secondary control (guard verification, video-verified release).']",33.1,High,10,"general, restricted, secure","A.7.2, A.8.5, IA-3, PE-3, SC-13, SC-8"
W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,P1,Medium,"Require a second factor at Restricted and Secure boundaries — PIN, biometric, or supervised entry.","['Classify zones and set a minimum factor count per class in the physical access standard.', 'Deploy reader-with-keypad or biometric at Secure zones first.', 'Where a second factor is not yet deployed, require escorted entry and log it.']",28.9,High,6,"restricted, secure","A.7.3, A.8.5, IA-2, PE-3(1)"
W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,P1,Medium,"Re-issue with randomly allocated identifiers from the full available namespace, and rate-limit or alarm on repeated rejected reads.","['Switch the issuing system from sequential to random allocation within the namespace.', 'Re-issue credentials in sensitivity order, highest zones first.', 'Alarm on consecutive rejected-credential events at a reader, which is the enumeration signature.']",23.0,Medium,7,"general, secure","A.5.16, A.7.2, AC-2, PE-2, PE-3"
W-STATIC-ID,"Static, non-authenticating credential identifier",P1,High,"Migrate to a credential that performs mutual cryptographic authentication; treat legacy IDs as identifiers only, never as authenticators.","['Inventory every access point still accepting the static technology and rank by zone sensitivity.', 'Replace with a credential providing challenge-response over a standard cipher (e.g. DESFire EV2/EV3 AES, Seos, PIV/CAK per NIST SP 800-116r1).', 'During migration, add a second factor (PIN or biometric) at Restricted and Secure zones rather than leaving possession-only.', ""Disable acceptance of the legacy format at the reader as soon as each zone's population is cut over.""]",23.0,Medium,7,"general, secure","A.7.2, A.8.5, AC-3, IA-3, PE-3"
W-MIXED-MODE,Reader accepts a legacy insecure format alongside the secure format,P1,Low,Complete the migration: disable legacy format acceptance reader by reader and evidence the date each was cut over.,"['Report legacy-format acceptance per reader and track it to zero as the migration metric.', 'Set a hard cutover date per zone and disable legacy acceptance on that date.', 'Verify by test presentation after cutover; a policy statement is not evidence.']",17.2,High,4,"general, restricted, secure","A.7.2, A.8.5, A.8.8, CM-6, PE-3"
W-BROKEN-CRYPTO,Deprecated or academically broken proprietary cipher,P1,Medium,Cut over to the vendor's current secure generation and disable the broken generation at the reader.,"['Confirm the exact product generation per reader; mixed estates are common.', 'Issue replacement credentials on a current AES-based generation.', 'Disable legacy-format acceptance at the reader, not only at the credential — otherwise the old cards keep working.', 'Record the cutover date per access point as remediation evidence.']",12.7,High,3,"general, restricted","A.8.5, A.8.8, RA-5, SC-13"
W-FIXED-CODE-RF,Fixed-code sub-GHz transmitter (no rolling code),P1,Medium,Replace fixed-code receivers with authenticated rolling-code or credentialled access; log every gate operation to the access control platform.,"['Replace the receiver and remotes with an AES-based rolling-code product, or move the gate onto the badge system with a vehicle reader.', 'Wire gate open events into the access control platform so they appear in the same log as door events.', 'Add video coverage of vehicle entry points to compensate during the replacement window.']",4.6,High,1,restricted,"A.7.1, A.7.2, A.8.5, AC-3, PE-16, PE-3, SC-8"
W-NO-EVENT-LOG,Access point produces no retained access event record,P2,Medium,"Integrate standalone access points into the access control platform, or compensate with monitored video and documented risk acceptance.","['List every standalone access point and classify by the sensitivity of what it reaches.', 'Integrate Restricted and Secure points first; retain events for the defined period.', 'Where integration is not feasible, install monitored video with retention matching the log policy and record the acceptance.']",43.0,Medium,15,"general, restricted, secure","A.7.4, A.8.15, AU-2, PE-6"
W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,P2,Low,Enable and supervise tamper switches on every reader and receiver; alarm tamper to a monitored destination.,"['Audit every access point for a wired, enabled tamper switch.', 'Confirm tamper events reach a monitored console, not just a local log.', 'Include tamper-state verification in routine maintenance rounds.']",39.5,Medium,14,"general, restricted, secure","A.7.4, PE-3(5)"
W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,P2,Medium,"Adopt credentials supporting expiry and cryptographic revocation; verify leaver revocation end to end, including standalone points.","['Require a credential expiry date field in the issuing standard and set it for contractors and visitors.', 'Test revocation at every access point class during the periodic review, not just at the main entrance.', 'Reconcile the credential inventory against HR leaver records on a defined cycle.']",20.7,Medium,8,"general, restricted, secure","A.5.18, IA-5, PE-2"
W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,P2,Low,Require mutual authentication and add shielding for high-sensitivity holders.,"['Select credential products performing mutual authentication with session-bound keys.', 'Issue shielded holders to staff carrying Secure-zone credentials.', 'Where supported, enable transaction timing limits that make relay impractical.']",17.2,Medium,7,"general, secure",-
W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,P2,High,Put the estate on a dated refresh plan; do not extend unsupported generations into new zones.,"['Record vendor life-cycle status as a mandatory field in the access point inventory.', 'Budget replacement before end of support, prioritised by zone sensitivity.', 'Prohibit new installations of the unsupported generation by policy.']",14.3,Medium,6,"general, secure","A.7.13, A.8.8, RA-5"
W-ROLLING-REPLAY,Rolling code defeatable by jam-and-replay or counter desynchronisation,P2,Medium,Prefer receivers with challenge-response or AES-based bidirectional authentication; monitor gate events for out-of-sequence opens.,"['Specify bidirectional, challenge-response openers in the next refresh cycle.', 'Enable and review out-of-sequence / counter-jump alerts where the receiver supports them.', 'Do not rely on rolling code alone at Restricted or Secure vehicle entrances.']",7.4,Medium,2,restricted,-
W-SMALL-NAMESPACE,Identifier namespace too small for the credential population,P2,Medium,"Move to a large-namespace, site-unique credential format and retire shared facility codes.","['Adopt a format with a site-unique issuer namespace rather than a shared facility code.', ""Confirm the new format's namespace exceeds projected population by several orders of magnitude."", 'Alarm on rejected-credential bursts to detect enumeration during the transition.']",5.1,Medium,2,general,-
W-SHARED-CREDENTIAL,Non-attributable shared or pooled credential in use,P2,Low,Issue individually attributable credentials including to contractors and visitors; retire pooled credentials.,"['Replace pooled contractor and visitor credentials with per-person, time-bounded issue.', 'Where a shared remote is operationally necessary, log the holder of record and rotate on handover.', 'Reconcile issued-credential records to named individuals at each review cycle.']",3.0,Medium,1,restricted,"A.5.16, AC-2, IA-2, PE-8"
W-IR-UNAUTH-CTRL,Security-relevant device controllable by unauthenticated infrared command,P3,Low,"Remove IR control from security-relevant actuators; where the device must keep IR, block line of sight from outside the boundary.","['Disable the IR receiver on any device that can release a barrier.', 'Reposition or shield devices so no external line of sight into the secure area exists.', 'Treat IR-commandable releases as an access point in the inventory, not as building services.']",13.2,Medium,5,"general, secure",A.8.5
